"populations" "actual" "lower" "upper"
"256" "Cabour_60,  vs  Kortenhoeff-NL_D61," 0.1134 0.0558 0.1868
"257" "Cabour_60,  vs  Lagland_W28," 0.076 0.0401 0.1249
"258" "Cabour_60,  vs  MtStFrieux_667," 0.007 -0.0218 0.0553
"259" "Cabour_60,  vs  Oosthoekduinen_89," -6e-04 -0.0187 0.0533
"260" "Cabour_60,  vs  Oostvoordduinen_T78," -0.0118 -0.0197 0.0156
"261" "Cabour_60,  vs  Plaatsduinen_440," -2e-04 -0.0177 0.0384
"262" "Cabour_60,  vs  Raversijde1_G38," 0.001 -0.0343 0.07
"263" "Cabour_60,  vs  Raversijde2_G253," 4e-04 -0.0275 0.049
"264" "Cabour_60,  vs  Sangatte_687," -1e-04 -0.0197 0.0382
"265" "Cabour_60,  vs  Schipgatduinen_T41," 1e-04 -0.023 0.0529
"266" "Cabour_60,  vs  Simliduinen_473," -0.0054 -0.0206 0.0344
"267" "Cabour_60,  vs  Sint-Laureins1_G91," -1e-04 -0.0225 0.0522
"268" "Cabour_60,  vs  Sint-Laureins2_G84," -0.0043 -0.0274 0.0557
"269" "Cabour_60,  vs  Slack_632," 0.0125 -0.0164 0.0571
"270" "Cabour_60,  vs  SpanjaardduinenOostende_G153," 1e-04 -0.0295 0.0565
"271" "Cabour_60,  vs  TerYdeIWVA_407," -0.0015 -0.0162 0.0395
"272" "Cabour_60,  vs  TerYdeWest_382," -0.0114 -0.0228 0.0241
"273" "Cabour_60,  vs  Tropiflora_31," 6e-04 -0.0285 0.0536
"274" "Cabour_60,  vs  Veurne_569," -2e-04 -0.0207 0.043
"275" "Cabour_60,  vs  Vloethemveld-Noord_F16," 0.0205 -0.0109 0.0745
"276" "Cabour_60,  vs  Vloethemveld-Zuid_F28," 0.0033 -0.0266 0.0521
"277" "Cabour_60,  vs  WarandeduinenMiddelkerke_G117," 0 -0.027 0.0595
"278" "Cabour_60,  vs  WesthoekNO_140," -0.0178 -0.0268 0.0143
"279" "Cabour_60,  vs  WesthoekOost_529," -0.0165 -0.0279 0.0214
"280" "Cabour_60,  vs  Westhoekvissersdorp_226," -0.0011 -0.0172 0.0358
"281" "Cabour_60,  vs  WesthoekZuid_9," 0.001 -0.0228 0.05
"282" "Cabour_60,  vs  Wetteren_548," 0.0444 -0.0032 0.1143
"283" "Cabour_60,  vs  WitteBurg_339," -0.0153 -0.0233 0.0151
"284" "Cabour_60,  vs  Zwinbosjes_596," 0.0363 -0.0027 0.0947
"285" "Cabour_60,  vs  Zwinbosjes-grazed_G229," 0.0166 -0.0177 0.0705
"286" "DuinbossenDeHaan_G26,  vs  FortNapoleon_G304," 0.0267 -0.0202 0.1039
"287" "DuinbossenDeHaan_G26,  vs  Geel-Bel_292," 0.0378 -0.0036 0.1061
"288" "DuinbossenDeHaan_G26,  vs  Hamont-Achel1_D111," 0.0434 0.005 0.0941
"289" "DuinbossenDeHaan_G26,  vs  Hamont-Achel2_D102," 0.0319 -0.0177 0.1034
"290" "DuinbossenDeHaan_G26,  vs  Hamont-Achel3_D97," 0.0324 -0.014 0.1019
"291" "DuinbossenDeHaan_G26,  vs  Harchies_W2," 0.0767 0.0268 0.1459
"292" "DuinbossenDeHaan_G26,  vs  HB-Doornpanne_256," 0.0021 -0.0342 0.0565
"293" "DuinbossenDeHaan_G26,  vs  HB-Noord_247," 0.0165 -0.0314 0.0951
"294" "DuinbossenDeHaan_G26,  vs  HB-Oost_241," 0.0011 -0.03 0.07
"295" "DuinbossenDeHaan_G26,  vs  HB-Pylyserlaan_201," 0.0058 -0.0275 0.0646
"296" "DuinbossenDeHaan_G26,  vs  Kalmthout_D84," 0.0481 0.0107 0.0989
"297" "DuinbossenDeHaan_G26,  vs  Karthuizerduinen_T77," 0 -0.0261 0.0573
"298" "DuinbossenDeHaan_G26,  vs  Keiheuvel_D51," 0.0523 0.0104 0.1135
"299" "DuinbossenDeHaan_G26,  vs  Kopberg_D24," 0.0315 -0.014 0.0948
"300" "DuinbossenDeHaan_G26,  vs  Kortenhoeff-NL_D61," 0.1034 0.0559 0.1703
"301" "DuinbossenDeHaan_G26,  vs  Lagland_W28," 0.0714 0.0161 0.1605
"302" "DuinbossenDeHaan_G26,  vs  MtStFrieux_667," 0.0093 -0.0212 0.0636
"303" "DuinbossenDeHaan_G26,  vs  Oosthoekduinen_89," 0.0239 -0.0236 0.1016
"304" "DuinbossenDeHaan_G26,  vs  Oostvoordduinen_T78," 0.0036 -0.0285 0.0666
"305" "DuinbossenDeHaan_G26,  vs  Plaatsduinen_440," 0.0026 -0.0294 0.064
"306" "DuinbossenDeHaan_G26,  vs  Raversijde1_G38," 0.0065 -0.0394 0.0873
"307" "DuinbossenDeHaan_G26,  vs  Raversijde2_G253," 0.0013 -0.0363 0.0731
"308" "DuinbossenDeHaan_G26,  vs  Sangatte_687," 7e-04 -0.0311 0.0691
"309" "DuinbossenDeHaan_G26,  vs  Schipgatduinen_T41," 0.0029 -0.027 0.0651
"310" "DuinbossenDeHaan_G26,  vs  Simliduinen_473," 2e-04 -0.0275 0.0534
"311" "DuinbossenDeHaan_G26,  vs  Sint-Laureins1_G91," 0 -0.0302 0.0535
"312" "DuinbossenDeHaan_G26,  vs  Sint-Laureins2_G84," 3e-04 -0.0334 0.0659
"313" "DuinbossenDeHaan_G26,  vs  Slack_632," 0.0042 -0.0238 0.0596
